mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
4.3,Revilla Gigedo Islands region,1635895314636,1635898274040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fqzk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000fqzk&format=geojson,,,,,reviewed,0,284,us,7000fqzk,",us7000fqzk,",",us,",",origin,phase-data,",,6.65,1.24,110.0,mb,earthquake,M 4.3 - Revilla Gigedo Islands region
1.8,"26 km SSW of Susitna, Alaska",1635895135780,1635895437466,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2g9588,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2g9588&format=geojson,,,,,automatic,0,50,ak,021e2g9588,",ak021e2g9588,",",ak,",",origin,",,,0.47,,ml,earthquake,"M 1.8 - 26 km SSW of Susitna, Alaska"
1.9,"70 km SSE of Unalaska, Alaska",1635894638296,1635896850318,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2g7c8z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2g7c8z&format=geojson,,,,,reviewed,0,56,ak,021e2g7c8z,",ak021e2g7c8z,",",ak,",",origin,phase-data,",,,1.11,,ml,earthquake,"M 1.9 - 70 km SSE of Unalaska, Alaska"
1.21,"5km NNW of Boron, CA",1635894629660,1635959421711,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847359,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847359&format=geojson,,,,,reviewed,0,23,ci,39847359,",ci39847359,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.1028,0.13,58.0,ml,quarry blast,"M 1.2 Quarry Blast - 5km NNW of Boron, CA"
-0.37,"84 km NNW of Karluk, Alaska",1635893361420,1635916922260,,https://earthquake.usgs.gov/earthquakes/eventpage/av91043483,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91043483&format=geojson,,,,,reviewed,0,0,av,91043483,",av91043483,",",av,",",origin,phase-data,",6.0,,0.18,219.0,ml,earthquake,"M -0.4 - 84 km NNW of Karluk, Alaska"
1.9,"17 km N of Valdez, Alaska",1635893129257,1635893403920,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2ftfwi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2ftfwi&format=geojson,,,,,automatic,0,56,ak,021e2ftfwi,",ak021e2ftfwi,",",ak,",",origin,",,,0.81,,ml,earthquake,"M 1.9 - 17 km N of Valdez, Alaska"
0.1,"0 km W of Walker, California",1635892296155,1635961857738,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00827323,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00827323&format=geojson,,,,,reviewed,0,0,nn,00827323,",nn00827323,",",nn,",",origin,phase-data,",5.0,0.012,0.0851,127.67,ml,earthquake,"M 0.1 - 0 km W of Walker, California"
2.46,"1km NW of Walker, CA",1635891529300,1635996871040,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73648005,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73648005&format=geojson,2.0,2.7,,,reviewed,0,94,nc,73648005,",nc73648005,nn00827319,us7000fqz8,",",nc,nn,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",22.0,0.01508,0.09,44.0,ml,earthquake,"M 2.5 - 1km NW of Walker, CA"
0.83,"6km ESE of Walker, CA",1635891522130,1635972852268,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73648000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73648000&format=geojson,,,,,reviewed,0,11,nc,73648000,",nc73648000,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.02127,0.06,151.0,md,earthquake,"M 0.8 - 6km ESE of Walker, CA"
2.0,"57 km S of Whites City, New Mexico",1635891418407,1635967432550,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021vmyo,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021vmyo&format=geojson,,,,,reviewed,0,62,tx,2021vmyo,",tx2021vmyo,",",tx,",",origin,phase-data,",14.0,0.1161048793,0.3,60.0,ml,earthquake,"M 2.0 - 57 km S of Whites City, New Mexico"
0.36,"8km NW of The Geysers, CA",1635890738680,1635892931403,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647995,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647995&format=geojson,,,,,automatic,0,2,nc,73647995,",nc73647995,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.009799,0.01,83.0,md,earthquake,"M 0.4 - 8km NW of The Geysers, CA"
0.47,"8km NW of The Geysers, CA",1635890719500,1635892211718,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647990,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647990&format=geojson,,,,,automatic,0,3,nc,73647990,",nc73647990,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.01107,0.02,55.0,md,earthquake,"M 0.5 - 8km NW of The Geysers, CA"
1.42,"5 km SE of Enumclaw, Washington",1635888756030,1635980625630,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61785802,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61785802&format=geojson,,,,,reviewed,0,31,uw,61785802,",uw61785802,",",uw,",",origin,phase-data,",21.0,0.0382,0.27,97.0,ml,explosion,"M 1.4 Explosion - 5 km SE of Enumclaw, Washington"
0.82,"20km ESE of Little Lake, CA",1635888718870,1635898869031,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847311,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847311&format=geojson,,,,,reviewed,0,10,ci,39847311,",ci39847311,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.08399,0.06,75.0,ml,earthquake,"M 0.8 - 20km ESE of Little Lake, CA"
1.4,"45km NNW of Los Algodones, B.C., MX",1635887551490,1635959221694,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847295,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847295&format=geojson,,,,,reviewed,0,30,ci,39847295,",ci39847295,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.07202,0.19,62.0,ml,quarry blast,"M 1.4 Quarry Blast - 45km NNW of Los Algodones, B.C., MX"
5.5,Mid-Indian Ridge,1635886506177,1636045215040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fqyj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000fqyj&format=geojson,,,0.0,green,reviewed,0,465,us,7000fqyj,",us7000fqyj,",",us,",",losspager,moment-tensor,origin,phase-data,shakemap,",,7.877,1.02,41.0,mww,earthquake,M 5.5 - Mid-Indian Ridge
1.85,"21km NE of San Lucas, CA",1635886429700,1635889332464,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647980,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647980&format=geojson,,,,,automatic,0,53,nc,73647980,",nc73647980,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.06195,0.13,132.0,md,earthquake,"M 1.9 - 21km NE of San Lucas, CA"
1.5,"52 km SSE of Denali National Park, Alaska",1635886396790,1635886612762,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2eo9gd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2eo9gd&format=geojson,,,,,automatic,0,35,ak,021e2eo9gd,",ak021e2eo9gd,",",ak,",",origin,",,,0.99,,ml,earthquake,"M 1.5 - 52 km SSE of Denali National Park, Alaska"
2.47,"21km N of Ridgecrest, CA",1635885806930,1635887062085,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847279,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847279&format=geojson,1.0,2.0,,,reviewed,0,94,ci,39847279,",ci39847279,",",ci,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",37.0,0.03165,0.11,50.0,ml,earthquake,"M 2.5 - 21km N of Ridgecrest, CA"
0.99,"6km WNW of The Geysers, CA",1635885500590,1635885599610,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647970,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647970&format=geojson,,,,,automatic,0,15,nc,73647970,",nc73647970,",",nc,",",nearby-cities,origin,phase-data,",13.0,0.009873,0.02,75.0,md,earthquake,"M 1.0 - 6km WNW of The Geysers, CA"
1.7,"36 km W of Clear, Alaska, Alaska",1635885428673,1635885791239,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2ektdc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2ektdc&format=geojson,,,,,automatic,0,44,ak,021e2ektdc,",ak021e2ektdc,",",ak,",",origin,",,,0.72,,ml,earthquake,"M 1.7 - 36 km W of Clear, Alaska, Alaska"
2.03,"3 km S of P?hala, Hawaii",1635884972290,1635885302660,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780432,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780432&format=geojson,,,,,automatic,0,63,hv,72780432,",hv72780432,",",hv,",",origin,phase-data,",51.0,,0.119999997,82.0,ml,earthquake,"M 2.0 - 3 km S of P?hala, Hawaii"
1.21,"5km NNW of The Geysers, CA",1635884937270,1635888731392,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647960,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647960&format=geojson,,,,,automatic,0,23,nc,73647960,",nc73647960,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.004383,0.03,47.0,md,earthquake,"M 1.2 - 5km NNW of The Geysers, CA"
1.84000003,"5 km S of P?hala, Hawaii",1635884831750,1635885031300,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780427,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780427&format=geojson,,,,,automatic,0,52,hv,72780427,",hv72780427,",",hv,",",origin,phase-data,",41.0,,0.140000001,127.0,md,earthquake,"M 1.8 - 5 km S of P?hala, Hawaii"
-0.91,"74 km NW of Ninilchik, Alaska",1635884739270,1635904375710,,https://earthquake.usgs.gov/earthquakes/eventpage/av91043408,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91043408&format=geojson,,,,,reviewed,0,0,av,91043408,",av91043408,",",av,",",origin,phase-data,",4.0,,0.24,182.0,ml,earthquake,"M -0.9 - 74 km NW of Ninilchik, Alaska"
1.89,"3 km SSE of P?hala, Hawaii",1635884522580,1635884852590,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780417,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780417&format=geojson,,,,,automatic,0,55,hv,72780417,",hv72780417,",",hv,",",origin,phase-data,",47.0,,0.119999997,96.0,ml,earthquake,"M 1.9 - 3 km SSE of P?hala, Hawaii"
1.7,"4 km SSE of P?hala, Hawaii",1635884450080,1635915179150,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780412,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780412&format=geojson,,,,,reviewed,0,44,hv,72780412,",hv72780412,",",hv,",",origin,phase-data,",31.0,,0.11,160.0,md,earthquake,"M 1.7 - 4 km SSE of P?hala, Hawaii"
-0.28,"87 km N of Karluk, Alaska",1635884357720,1635916706300,,https://earthquake.usgs.gov/earthquakes/eventpage/av91043478,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91043478&format=geojson,,,,,reviewed,0,0,av,91043478,",av91043478,",",av,",",origin,phase-data,",7.0,,0.26,197.0,ml,earthquake,"M -0.3 - 87 km N of Karluk, Alaska"
2.09,"13 km WNW of Stanley, Idaho",1635884352140,1635885203550,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80528964,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80528964&format=geojson,,,,,reviewed,0,67,mb,80528964,",mb80528964,",",mb,",",origin,phase-data,",12.0,0.753,0.2,78.0,ml,earthquake,"M 2.1 - 13 km WNW of Stanley, Idaho"
2.05,"5km ENE of Pinnacles, CA",1635883922150,1635892932447,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647955,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647955&format=geojson,,,,,automatic,0,65,nc,73647955,",nc73647955,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.05445,0.13,126.0,md,earthquake,"M 2.1 - 5km ENE of Pinnacles, CA"
1.0,"33 km SE of Denali National Park, Alaska",1635883918239,1635896659770,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2efce7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2efce7&format=geojson,,,,,reviewed,0,15,ak,021e2efce7,",ak021e2efce7,",",ak,",",origin,phase-data,",,,1.75,,ml,earthquake,"M 1.0 - 33 km SE of Denali National Park, Alaska"
1.1,"2km NE of The Geysers, CA",1635883513280,1635896951393,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647950,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647950&format=geojson,,,,,automatic,0,19,nc,73647950,",nc73647950,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.004918,0.02,65.0,md,earthquake,"M 1.1 - 2km NE of The Geysers, CA"
-0.6,"64 km ENE of Pedro Bay, Alaska",1635883419880,1635894281630,,https://earthquake.usgs.gov/earthquakes/eventpage/av91405531,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91405531&format=geojson,,,,,reviewed,0,0,av,91405531,",av91405531,",",av,",",origin,phase-data,",4.0,,0.26,165.0,ml,earthquake,"M -0.6 - 64 km ENE of Pedro Bay, Alaska"
-1.03,"78 km NW of Ninilchik, Alaska",1635883079210,1635901765000,,https://earthquake.usgs.gov/earthquakes/eventpage/av91043403,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91043403&format=geojson,,,,,reviewed,0,0,av,91043403,",av91043403,",",av,",",origin,phase-data,",4.0,,0.11,205.0,ml,earthquake,"M -1.0 - 78 km NW of Ninilchik, Alaska"
4.4,"263 km S of Sinabang, Indonesia",1635883018318,1635886740040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fqxm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000fqxm&format=geojson,,,,,reviewed,0,298,us,7000fqxm,",us7000fqxm,",",us,",",origin,phase-data,",,1.459,0.79,120.0,mb,earthquake,"M 4.4 - 263 km S of Sinabang, Indonesia"
2.28999996,"2 km SSW of P?hala, Hawaii",1635882363510,1635882726910,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780377,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780377&format=geojson,,,,,automatic,0,81,hv,72780377,",hv72780377,",",hv,",",origin,phase-data,",46.0,,0.109999999,77.0,md,earthquake,"M 2.3 - 2 km SSW of P?hala, Hawaii"
1.44,"2 km NNE of Quinton, Oklahoma",1635882275890,1635964987833,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2021vmtn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2021vmtn&format=geojson,,,,,reviewed,0,32,ok,2021vmtn,",ok2021vmtn,",",ok,",",origin,phase-data,",26.0,0.1088786343,0.19,196.0,ml,earthquake,"M 1.4 - 2 km NNE of Quinton, Oklahoma"
1.73,"6km NNE of San Leandro, CA",1635882273040,1635891912082,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647945,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647945&format=geojson,,,,,automatic,0,46,nc,73647945,",nc73647945,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.02728,0.07,64.0,md,earthquake,"M 1.7 - 6km NNE of San Leandro, CA"
2.30999994,"5 km SE of P?hala, Hawaii",1635881951010,1635882133770,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780367,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780367&format=geojson,,,,,automatic,0,82,hv,72780367,",hv72780367,",",hv,",",origin,phase-data,",45.0,,0.100000001,161.0,md,earthquake,"M 2.3 - 5 km SE of P?hala, Hawaii"
2.04,"13km NW of Rosarito, B.C., MX",1635881385690,1635886139293,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847239,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847239&format=geojson,,,,,reviewed,0,64,ci,39847239,",ci39847239,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.2623,0.27,215.0,ml,quarry blast,"M 2.0 Quarry Blast - 13km NW of Rosarito, B.C., MX"
0.21,"1km NNW of The Geysers, CA",1635881296840,1635881394493,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647935,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647935&format=geojson,,,,,automatic,0,1,nc,73647935,",nc73647935,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.01097,0.01,83.0,md,earthquake,"M 0.2 - 1km NNW of The Geysers, CA"
0.84,"12km WNW of The Geysers, CA",1635880794320,1635880888978,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647925,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647925&format=geojson,,,,,automatic,0,11,nc,73647925,",nc73647925,",",nc,",",nearby-cities,origin,phase-data,",20.0,0.00669,0.02,64.0,md,earthquake,"M 0.8 - 12km WNW of The Geysers, CA"
2.0,"9 km ENE of P?hala, Hawaii",1635880310860,1635880514660,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780337,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780337&format=geojson,,,,,automatic,0,62,hv,72780337,",hv72780337,",",hv,",",origin,phase-data,",32.0,,0.159999996,134.0,md,earthquake,"M 2.0 - 9 km ENE of P?hala, Hawaii"
-0.98,Southern Alaska,1635879832480,1635900971370,,https://earthquake.usgs.gov/earthquakes/eventpage/av91043393,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91043393&format=geojson,,,,,reviewed,0,0,av,91043393,",av91043393,",",av,",",origin,phase-data,",4.0,,0.15,131.0,ml,earthquake,M -1.0 - Southern Alaska
1.3,"31 km W of Anderson, Alaska",1635879813541,1635880110965,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2ds5ca,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2ds5ca&format=geojson,,,,,automatic,0,26,ak,021e2ds5ca,",ak021e2ds5ca,",",ak,",",origin,",,,0.46,,ml,earthquake,"M 1.3 - 31 km W of Anderson, Alaska"
2.3499999,"8 km NE of P?hala, Hawaii",1635879673920,1635879866510,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780312,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780312&format=geojson,,,,,automatic,0,85,hv,72780312,",hv72780312,",",hv,",",origin,phase-data,",37.0,,0.119999997,128.0,md,earthquake,"M 2.3 - 8 km NE of P?hala, Hawaii"
1.49,"6 km ENE of P?hala, Hawaii",1635879544750,1635987643900,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780307,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780307&format=geojson,,,,,reviewed,0,34,hv,72780307,",hv72780307,",",hv,",",origin,phase-data,",26.0,,0.1,128.0,md,earthquake,"M 1.5 - 6 km ENE of P?hala, Hawaii"
1.17,"8km NW of The Geysers, CA",1635879478280,1635890651158,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647920,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647920&format=geojson,,,,,automatic,0,21,nc,73647920,",nc73647920,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.01136,0.02,57.0,md,earthquake,"M 1.2 - 8km NW of The Geysers, CA"
1.51,"7km SSW of Mojave, CA",1635879393090,1635884365117,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847231&format=geojson,,,,,reviewed,0,35,ci,39847231,",ci39847231,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.1183,0.11,96.0,ml,quarry blast,"M 1.5 Quarry Blast - 7km SSW of Mojave, CA"
2.1,"87 km WSW of Akhiok, Alaska",1635878970961,1635896379046,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2dgldx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2dgldx&format=geojson,,,,,reviewed,0,68,ak,021e2dgldx,",ak021e2dgldx,",",ak,",",origin,phase-data,",,,0.31,,ml,earthquake,"M 2.1 - 87 km WSW of Akhiok, Alaska"
1.6,"29 km SSW of Mina, Nevada",1635878746118,1635907055849,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00827302,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00827302&format=geojson,,,,,reviewed,0,39,nn,00827302,",nn00827302,",",nn,",",origin,phase-data,",17.0,0.143,0.1462,153.83,ml,earthquake,"M 1.6 - 29 km SSW of Mina, Nevada"
1.44,"13km ESE of Olancha, CA",1635878704000,1635883215583,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847223,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847223&format=geojson,,,,,reviewed,0,32,ci,39847223,",ci39847223,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.1077,0.16,68.0,ml,earthquake,"M 1.4 - 13km ESE of Olancha, CA"
1.58,"1km SSE of San Ramon, CA",1635878578270,1635990251218,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73647915,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73647915&format=geojson,,,,,reviewed,0,38,nc,73647915,",nc73647915,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.06664,0.06,60.0,md,earthquake,"M 1.6 - 1km SSE of San Ramon, CA"
0.19,"69 km W of Salamatof, Alaska",1635878392720,1635892957150,,https://earthquake.usgs.gov/earthquakes/eventpage/av91405441,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91405441&format=geojson,,,,,reviewed,0,1,av,91405441,",av91405441,",",av,",",origin,phase-data,",9.0,,0.05,245.0,ml,earthquake,"M 0.2 - 69 km W of Salamatof, Alaska"
1.85,"15 km SSE of Sunnyside, Utah",1635878378670,1635950345710,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60466482,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60466482&format=geojson,,,,,reviewed,0,53,uu,60466482,",uu60466482,",",uu,",",origin,phase-data,",8.0,0.01136,0.13,195.0,md,earthquake,"M 1.9 - 15 km SSE of Sunnyside, Utah"
0.46,"16km SSW of Searles Valley, CA",1635878356350,1635883327029,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847215,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847215&format=geojson,,,,,reviewed,0,3,ci,39847215,",ci39847215,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.04539,0.14,160.0,ml,earthquake,"M 0.5 - 16km SSW of Searles Valley, CA"
-0.1,"22km E of Little Lake, CA",1635877609270,1635883708158,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847207,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847207&format=geojson,,,,,reviewed,0,0,ci,39847207,",ci39847207,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",4.0,0.01766,0.02,146.0,ml,earthquake,"M -0.1 - 22km E of Little Lake, CA"
